dist_id,city,district,city_title,dist_title,area_sqm,urban_15_34,rural_15_34,total_15_34,dense_15_34
VNM.15.5_1,ĐắkLắk,EaH'leo,Tỉnh,Huyện,1338314375.3475907,5809.0,39083.0,44892.0,34.0
VNM.16.3_1,ĐắkNông,ĐắkR'Lấp,Tỉnh,Huyện,635693064.3848985,3507.0,22518.0,26025.0,41.0
VNM.10.11_1,BìnhPhước,PhướcLong,Tỉnh,ThịXã,123758402.0273134,13532.0,3170.0,16702.0,135.0
VNM.53.2_1,TâyNinh,ChâuThành,Tỉnh,Huyện,580257241.2674848,2778.0,40484.0,43262.0,75.0
VNM.53.5_1,TâyNinh,HòaThành,Tỉnh,Huyện,83705466.1028005,3176.0,38158.0,41334.0,494.0
VNM.9.3_1,BìnhDương,BàuBàng,Tỉnh,Huyện,337200518.4247581,12155.0,20234.0,32389.0,96.0
VNM.17.8_1,ĐồngNai,ThốngNhất,Tỉnh,Huyện,246601958.10949528,0.0,53675.0,53675.0,218.0
VNM.25.13_1,HồChíMinh,1,ThànhPhố,Quận,7714496.545183531,41786.0,0.0,41786.0,5417.0
VNM.25.20_1,HồChíMinh,8,ThànhPhố,Quận,19152241.010870755,138344.0,0.0,138344.0,7223.0
VNM.25.19_1,HồChíMinh,7,ThànhPhố,Quận,35249209.42342924,152732.0,0.0,152732.0,4333.0
VNM.58.6_1,TiềnGiang,GòCôngĐông,Tỉnh,Huyện,234192413.54403162,5312.0,31318.0,36630.0,156.0
VNM.59.2_1,TràVinh,CầuNgang,Tỉnh,Huyện,326166377.6436875,2357.0,27855.0,30212.0,93.0
VNM.59.8_1,TràVinh,TràCú,Tỉnh,Huyện,317789095.38432205,2925.0,35571.0,38496.0,121.0
VNM.59.5_1,TràVinh,DuyênHải,Tỉnh,ThịXã,199517803.92477775,4581.0,10164.0,14745.0,74.0
VNM.18.12_1,ĐồngTháp,ThápMười,Tỉnh,Huyện,534332588.02546626,5801.0,34216.0,40017.0,75.0
VNM.18.3_1,ĐồngTháp,ChâuThành,Tỉnh,Huyện,245859973.1241541,2491.0,33322.0,35813.0,146.0
VNM.1.8_1,AnGiang,TịnhBiên,Tỉnh,Huyện,352576311.9329386,8469.0,18875.0,27344.0,78.0
VNM.33.15_1,KiênGiang,VĩnhThuận,Tỉnh,Huyện,374407688.11540705,3524.0,18644.0,22168.0,59.0
