ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,total,urban,rural,pop_density
VNM.42.2.9_1,NinhBình,HoaLư,NinhXuân,Tỉnh,Huyện,Xã,9762122.574735662,4167,,4167.0,427.0
VNM.57.13.13_1,ThanhHóa,NhưXuân,ThượngNinh,Tỉnh,Huyện,Xã,50161407.440054186,6720,,6720.0,134.0
VNM.55.1.42_1,TháiBình,ĐôngHưng,PhúLương,Tỉnh,Huyện,Xã,4643815.427960815,7197,,7197.0,1550.0
VNM.41.14.5_1,NghệAn,QuỳHợp,ChâuLộc,Tỉnh,Huyện,Xã,43867521.47550141,4486,,4486.0,102.0
VNM.57.19.20_1,ThanhHóa,ThạchThành,ThànhTâm,Tỉnh,Huyện,Xã,23230431.26424176,6163,,6163.0,265.0
VNM.57.7.42_1,ThanhHóa,HoằngHóa,HoằngXuyên,Tỉnh,Huyện,Xã,3126015.4628409185,3322,,3322.0,1063.0
VNM.41.10.3_1,NghệAn,NghiLộc,NghiĐồng,Tỉnh,Huyện,Xã,16326281.049100164,5016,,5016.0,307.0
VNM.41.3.2_1,NghệAn,ConCuông,BìnhChuẩn,Tỉnh,Huyện,Xã,181837464.8192506,4171,,4171.0,23.0
VNM.57.22.12_1,ThanhHóa,ThiệuHóa,ThiệuMinh,Tỉnh,Huyện,Xã,3927208.6455286755,2879,,2879.0,733.0
VNM.41.19.9_1,NghệAn,TươngDương,TamHợp,Tỉnh,Huyện,Xã,231721658.84322345,2411,,2411.0,10.0
VNM.57.25.19_1,ThanhHóa,TriệuSơn,ThọBình,Tỉnh,Huyện,Xã,18281346.99933806,7525,,7525.0,412.0
VNM.57.14.17_1,ThanhHóa,NôngCống,ThăngLong,Tỉnh,Huyện,Xã,15698139.88769292,12873,,12873.0,820.0
VNM.55.6.23_1,TháiBình,TháiThụy,ThụyThanh,Tỉnh,Huyện,Xã,5318732.263532163,6558,,6558.0,1233.0
VNM.57.15.27_1,ThanhHóa,QuảngXương,QuảngVọng,Tỉnh,Huyện,Xã,6853268.285355619,4850,,4850.0,708.0
VNM.41.1.9_1,NghệAn,AnhSơn,HùngSơn,Tỉnh,Huyện,Xã,20958689.87378427,4281,,4281.0,204.0
VNM.40.8.7_1,NamĐịnh,VụBản,KimThái,Tỉnh,Huyện,Xã,9548331.365685333,9215,,9215.0,965.0
VNM.41.8.17_1,NghệAn,KỳSơn,NaLoi,Tỉnh,Huyện,Xã,59256840.06953331,2244,,2244.0,38.0
VNM.55.7.19_1,TháiBình,TiềnHải,NamHưng,Tỉnh,Huyện,Xã,13409351.006801555,5089,,5089.0,380.0
VNM.57.6.23_1,ThanhHóa,HàTrung,HàVân,Tỉnh,Huyện,Xã,6743108.122329688,4181,,4181.0,620.0
VNM.57.5.16_1,ThanhHóa,HậuLộc,NgưLộc,Tỉnh,Huyện,Xã,498656.93616360344,17532,,17532.0,35158.0
VNM.41.10.8_1,NghệAn,NghiLộc,NghiKhánh,Tỉnh,Huyện,Xã,4193901.56456571,5286,,5286.0,1260.0
VNM.41.7.15_1,NghệAn,HưngNguyên,HưngThắng,Tỉnh,Huyện,Xã,4356851.687169256,3862,,3862.0,886.0
