ward_id,city,district,ward,city_title,dist_title,ward_title,area_sqm,urban_1,urban_2,urban_3,urban_4,urban_5,rural_1_2,rural_3,rural_4,rural_5
VNM.16.2.4_1,ĐắkNông,ĐắkMil,ĐắkN'Drót,Tỉnh,Huyện,Xã,48118930.0132066,,,,,0.0,242.0,250.0,508.0,691.0
VNM.16.2.9_1,ĐắkNông,ĐắkMil,LongSơn,Tỉnh,Huyện,Xã,29465916.902485445,,,,,0.0,58.0,65.0,97.0,152.0
VNM.16.7.11_1,ĐắkNông,KrôngNô,QuảngPhú,Tỉnh,Huyện,Xã,121845888.98384312,,,,,0.0,301.0,316.0,525.0,609.0
VNM.37.7.3_1,LâmĐồng,ĐàLạt,11,Tỉnh,ThànhPhố,Phường,16490250.89080785,360.0,526.0,698.0,967.0,677.0,0.0,,,0.0
VNM.37.7.16_1,LâmĐồng,ĐàLạt,XuânTrường,Tỉnh,ThànhPhố,Xã,34907236.91831365,,,,,0.0,574.0,460.0,489.0,358.0
VNM.37.1.4_1,LâmĐồng,BảoLộc,LộcChâu,Tỉnh,ThànhPhố,Xã,36037008.09610371,,,,,0.0,1198.0,1064.0,1323.0,1114.0
VNM.37.8.7_1,LâmĐồng,ĐamRông,PhiLiêng,Tỉnh,Huyện,Xã,109100867.1697657,,,,,0.0,216.0,311.0,443.0,564.0
VNM.37.11.3_1,LâmĐồng,LạcDương,ĐạSar,Tỉnh,Huyện,Xã,247448737.90346763,,,,,0.0,105.0,161.0,334.0,590.0
VNM.37.12.15_1,LâmĐồng,LâmHà,TânThanh,Tỉnh,Huyện,Xã,129779118.52417834,,,,,0.0,621.0,582.0,988.0,813.0
VNM.37.6.9_1,LâmĐồng,ĐứcTrọng,NinhGia,Tỉnh,Huyện,Xã,144554892.34059665,,,,,0.0,914.0,814.0,1048.0,861.0
VNM.37.4.8_1,LâmĐồng,ĐạHuoai,MaĐaGuôi,Tỉnh,Huyện,ThịTrấn,25208579.294962637,276.0,573.0,615.0,707.0,513.0,0.0,,,0.0
VNM.37.4.4_1,LâmĐồng,ĐạHuoai,ĐạPloa,Tỉnh,Huyện,Xã,92043366.72140794,,,,,0.0,169.0,185.0,301.0,297.0
VNM.37.5.8_1,LâmĐồng,ĐạTẻh,MỹĐức,Tỉnh,Huyện,Xã,102324506.8226608,,,,,0.0,340.0,240.0,298.0,214.0
VNM.37.5.7_1,LâmĐồng,ĐạTẻh,HươngLâm,Tỉnh,Huyện,Xã,23508115.938837364,,,,,0.0,191.0,105.0,154.0,114.0
VNM.10.4.8_1,BìnhPhước,BùGiaMập,PhướcMinh,Tỉnh,Huyện,Xã,69734404.37983356,,,,,0.0,417.0,426.0,654.0,630.0
VNM.10.9.3_1,BìnhPhước,LộcNinh,LộcHiệp,Tỉnh,Huyện,Xã,29002365.52259335,,,,,0.0,561.0,490.0,667.0,519.0
VNM.10.6.3_1,BìnhPhước,ĐồngPhú,TânHòa,Tỉnh,Huyện,Xã,136470699.8635139,,,,,0.0,175.0,182.0,292.0,233.0
VNM.10.3.1_1,BìnhPhước,BùĐăng,BìnhMinh,Tỉnh,Huyện,Xã,129255899.7272385,,,,,0.0,561.0,525.0,831.0,917.0
VNM.10.3.11_1,BìnhPhước,BùĐăng,NghĩaBình,Tỉnh,Huyện,Xã,48002529.26290386,,,,,0.0,339.0,289.0,395.0,367.0
VNM.10.3.14_1,BìnhPhước,BùĐăng,PhướcSơn,Tỉnh,Huyện,Xã,91144063.6517714,,,,,0.0,318.0,367.0,478.0,454.0
